corp_code,corp_name,year,A_SIZE,LEV,TQ,stock_code,FOR,MSE,ROA,ADV,SGR,R&D,ESG,E,S,G
120076,LX인터내셔널,2019,29.21534269835416,68.23991652845827,80.20341359675753,1120,14.34,26.31,-0.3047788194708948,1.7121113513105395,543.2719558081001,,A,A,A+,A
759513,LX하우시스,2019,28.573205300072026,64.29741590494777,83.41713698935015,108670,13.11,30.08,0.4507754389944726,97.33567172407993,-243.95866396285192,49.47271673496387,A,A,A+,A
121534,MH에탄올,2019,26.835784621110424,82.41559917071348,92.45030867573152,23150,0.71,55.46,-1.6727508654092986,3.209101274341792,1110.431114258048,,B,C,B,B+
266961,NAVER,2019,30.14058193210332,47.1205193117671,297.0301123037919,35420,58.28,9.48,3.22631153676127,1341.3499427434958,1801.5262760979876,,A,B+,B+,A+
983271,NHN,2019,28.547440338999355,26.861319261674872,79.13234926296424,181710,12.16,47.7,0.9268094423745465,419.24636574392497,1771.5848024613142,,B,D,B+,B+
120182,NH투자증권,2019,,,,5940,14.67,49.11,,,,,B+,B,A+,B+
158316,NICE,2019,28.572912289900408,52.292263517727974,83.1614003435483,34310,12.92,48.54,3.028108538617719,,,,B,D,B,B+
158325,NICE평가정보,2019,26.48871656285071,29.742044704273003,295.1815036689356,30190,,42.99,12.780823522107115,457.06997874407944,707.2063941631611,691.1847361218715,B,D,B,B
116301,NI스틸,2019,26.278838930286256,57.13360810543641,81.56821436747373,8260,2.53,58.45,2.4809108751391697,4.23681788574227,-166.4096926811685,78.6762239026689,C,D,C,B
148896,OCI홀딩스,2019,29.20197008349763,44.17781563631178,75.2088887623659,10060,22.84,22.43,-16.781354164611745,,-1629.1077070470938,0.507738118083937,A,A,A+,A
767460,PI첨단소재,2019,26.69698659526781,36.053895176218816,297.60926403724545,178920,,54.07,4.5087804715370625,13.894258978183602,-887.6856931470552,414.2979761320891,B,C,B,B+
122472,PKC,2019,26.518852938271586,49.11100156493047,82.71322037501147,1340,3.13,52.93,4.8742081309234475,2.242717482657401,-404.4837515932064,,C,B,C,D
155319,POSCO홀딩스,2019,32.001211238804096,39.54526153534823,65.62676378010258,5490,51.38,10.72,2.507805191935917,12.828653695511507,-94.02131780418568,75.12236756453531,A,A,B,A+
138279,S-Oil,2019,30.424233268219627,60.22490355805261,125.91324414064162,10950,79.0,63.46,0.40058405472320185,8.39954689179256,-419.8678921954131,,A+,A,A+,A+
130772,SBS,2019,27.852373374029003,48.13774031478599,78.56449120867832,34120,,36.92,1.677731800299527,15.635231821584872,-1054.4249285266942,41.69387406782067,B,C,B,B+
132725,SB성보,2019,25.87332307198911,14.968930468574321,66.7483876379153,3080,1.17,70.69,-1.6634585644695565,119.10305484120207,-1545.6465774628186,548.8830815653165,C,D,B,B
125150,SGC에너지,2019,27.26840356289185,55.07758559860579,76.35504698909588,5090,1.94,45.41,0.061320376847143754,54.24893652433044,714.2778960404717,,C,C,B,C
152039,SG글로벌,2019,26.041711012036025,36.26359298284202,74.27238155872276,1380,2.34,61.61,0.3691450061537126,0.018680794176873752,-650.3654797985181,,D,C,C,D
133511,SG세계물산,2019,26.38527056119804,28.79213238502295,92.39183491379752,4060,3.39,50.61,3.3602268845270733,42.113336703286805,-239.13097731935014,70.38425826650969,C,D,B,C
137809,SHD,2019,24.902364556818146,47.69237973892666,87.5949113873721,1770,0.57,55.15,1.4749125630077626,0.09445143015715018,344.48486766684925,,D,D,C,D
136457,SH에너지화학,2019,25.53882523753028,19.78340684148698,111.63256659855696,2360,34.53,31.12,-2.5038529154866946,,-2328.2395886917134,7.163447332486743,C,C,C,B+
138260,SIMPAC,2019,27.2441017421221,35.03671039066547,63.40910267066413,9160,8.61,60.01,1.396977718658495,7.199922881130258,4048.1471730839758,,C,C,B,C
134510,SJG세종,2019,27.627041056564767,61.728188752860966,72.22384904585878,33530,4.08,53.51,0.19260313272289845,0.5467204367562479,1111.314106253443,,C,B,B+,C
181712,SK,2019,32.513979662612364,60.47389198340417,74.43715771762902,34730,25.1,30.86,1.2174221862036216,60.69526878743267,-89.56262380986382,,A+,A,A+,A+
